Unnamed: 0,А,Б,В,Г,Д,Е,Ж,З,И,Й,К,Л,М,Н,О,П,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,Щ,Ы,Ь,Э,Ю,Я,Unnamed: 32
А,2.0,12.0,35.0,8.0,14.0,7.0,6.0,15.0,7.0,7.0,19.0,27.0,19.0,45.0,5.0,11.0,26.0,31.0,27.0,3.0,1.0,10.0,6.0,7.0,10.0,1.0,0.0,0.0,2.0,6.0,9.0,0.0
Б,5.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,2.0,21.0,0.0,8.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0
В,35.0,1.0,5.0,3.0,3.0,32.0,0.0,2.0,17.0,0.0,7.0,10.0,3.0,9.0,58.0,6.0,6.0,19.0,6.0,7.0,0.0,1.0,1.0,2.0,4.0,1.0,18.0,1.0,2.0,0.0,3.0,0.0
Г,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,1.0,50.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Д,25.0,0.0,3.0,1.0,1.0,29.0,1.0,1.0,13.0,0.0,1.0,5.0,1.0,13.0,22.0,3.0,6.0,8.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0
Е,2.0,9.0,18.0,11.0,27.0,7.0,5.0,10.0,6.0,15.0,13.0,35.0,24.0,63.0,7.0,16.0,39.0,37.0,33.0,3.0,1.0,8.0,3.0,7.0,3.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
Ж,5.0,1.0,0.0,0.0,6.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
З,35.0,1.0,7.0,1.0,5.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,9.0,9.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0
И,4.0,6.0,22.0,5.0,10.0,21.0,2.0,23.0,19.0,11.0,19.0,21.0,20.0,32.0,8.0,13.0,11.0,29.0,29.0,3.0,1.0,17.0,3.0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,17.0,0.0
Й,1.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,4.0,0.0,5.0,1.0,2.0,7.0,9.0,7.0,3.0,10.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
К,24.0,1.0,4.0,1.0,0.0,4.0,1.0,1.0,26.0,0.0,1.0,4.0,1.0,2.0,66.0,2.0,10.0,3.0,7.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Л,25.0,1.0,1.0,1.0,1.0,33.0,2.0,1.0,36.0,0.0,1.0,2.0,1.0,8.0,30.0,2.0,0.0,3.0,1.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,20.0,0.0,4.0,9.0,0.0
М,18.0,2.0,4.0,1.0,1.0,21.0,1.0,2.0,23.0,0.0,3.0,1.0,3.0,7.0,19.0,5.0,2.0,5.0,3.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0,0.0
